Directorio,¿Juega videojuegos?,¿Con qué frecuencia?
3086753,1,3
3086754,2,0
3086755,2,0
3086756,2,0
3086756,2,0
3086757,1,3
3086757,2,0
3086758,2,0
3086758,2,0
3086759,2,0
3086760,2,0
3086761,2,0
3086761,2,0
3086762,2,0
3086762,2,0
3086763,1,2
3086763,2,0
3086763,2,0
3086763,2,0
3086765,1,1
3086765,2,0
3086765,2,0
3086767,2,0
3086768,1,2
3086768,2,0
3086768,2,0
3086769,2,0
3086769,2,0
3086770,2,0
3086770,2,0
3086771,1,3
3086771,2,0
3086773,2,0
3086773,2,0
3086774,2,0
3086774,2,0
3086775,2,0
3086775,2,0
3086776,1,2
3086776,2,0
3086776,2,0
3086776,2,0
3086777,1,2
3086777,1,2
3086778,2,0
3086779,2,0
3086779,2,0
3086779,2,0
3086779,2,0
3086779,2,0
3086780,1,2
3086780,2,0
3086780,2,0
3086780,2,0
3086781,1,2
3086781,2,0
3086782,1,1
3086782,1,2
3086782,2,0
3086783,2,0
3086783,2,0
3086784,1,2
3086784,2,0
3086784,2,0
3086785,1,2
3086785,2,0
3086786,1,4
3086786,2,0
3086786,2,0
3086788,2,0
3086788,2,0
3086789,1,2
3086789,1,3
3086789,2,0
3086789,2,0
3086790,2,0
3086791,2,0
3086792,1,2
3086792,2,0
3086793,2,0
3086793,2,0
3086793,2,0
3086794,2,0
3086795,2,0
3086795,2,0
3086795,2,0
3086795,2,0
3086796,1,2
3086796,2,0
3086796,2,0
3086797,2,0
3086797,2,0
3086797,2,0
3086797,2,0
3086798,1,1
3086798,2,0
3086799,2,0
3086800,1,2
3086800,1,3
3086800,1,3
3086800,2,0
3086800,2,0
3086801,1,3
3086801,2,0
3086802,2,0
3086802,2,0
3086802,2,0
3086803,2,0
3086803,2,0
3086803,2,0
3086804,2,0
3086804,2,0
3086804,2,0
3086849,2,0
3086849,2,0
3086849,2,0
3086849,2,0
3086851,2,0
3086851,2,0
3086852,2,0
3086852,2,0
3086852,2,0
3086852,2,0
3086852,2,0
3086853,1,2
3086853,1,2
3086853,1,3
3086854,2,0
3086854,2,0
3086854,2,0
3086854,2,0
3086856,2,0
3086856,2,0
3086856,2,0
3086856,2,0
3086857,2,0
3086858,2,0
3086858,2,0
3086859,2,0
3086860,2,0
3086860,2,0
3086861,2,0
3086862,2,0
3086863,2,0
3086863,2,0
3086864,2,0
3086864,2,0
3086865,2,0
3086865,2,0
3086867,2,0
3086867,2,0
3086867,2,0
3086868,2,0
3086869,1,2
3086869,2,0
3086870,2,0
3086870,2,0
3086870,2,0
3086870,2,0
3086870,2,0
3086871,2,0
3086871,2,0
3086871,2,0
3086873,1,2
3086873,2,0
3086874,2,0
3086874,2,0
3086874,2,0
3086875,2,0
3086876,2,0
3086876,2,0
3086876,2,0
3086877,1,2
3086877,2,0
3086878,1,2
3086878,2,0
3086879,2,0
3086879,2,0
3086879,2,0
3086879,2,0
3086879,2,0
3086880,1,2
3086880,2,0
3086880,2,0
3086881,2,0
3086881,2,0
3086882,1,1
3086882,1,2
3086882,1,2
3086882,2,0
